;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
198;5690.0;20.0;53.7562453;86.8597077;216.0;-0.8987910558441057;-2.7297620951395234;132.1540229885082;;76.8;32.20610285147299;41.025;-0.0540430304884266;-1.0385438972162742;0.0163148771285816;Груженный движется вперед;95;7530G;240;1302.0;15.0;23.0;792.0;35.85164835164835;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;60.22322916666669;7.5;8.7;12.9;9.5;0.6963222374313167;-0.3198564323462232;1;6.7;6.7;14.355;9.9;point_30%;10;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
199;5710.0;16.0;53.7561908;86.859986;212.0;0.8317637932491141;-2.940798824234227;132.57854406130514;;76.8;19.295149124925757;134.1;-0.0285510349750178;-0.9126134393800348;-0.0132558376669725;Груженный движется вперед;95;7530G;240;1202.0;42.5;61.25;792.0;35.87362637362637;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;60.372229166666685;7.6;9.3;15.5;9.6;0.6650744771646194;-0.27001469240003173;1;6.7;9.715;14.355;9.9;point_30%;10;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
200;5729.0;16.0;53.756144;86.860272;217.0;0.17152819144296896;-2.790479075488379;132.98007662835494;;76.8;19.53097842687118;227.175;-0.1213418986438258;-1.01458142143367;-0.003059039461609;Груженный движется вперед;95;7530G;240;1313.0;70.0;99.5;792.0;35.895604395604394;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;60.62464583333335;7.0;6.6;12.4;9.5;0.4384682212427744;-0.36284477664446735;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
201;5750.0;18.0;53.7560783;86.8605647;217.0;1.2926828523708656;-2.8867473229993585;133.24674329502162;;76.4;20.60594230923238;212.35;-0.023452635872336;-1.0390537371265425;-0.023452635872336;Груженный движется вперед;95;7530G;240;1248.5;68.0;99.0;792.0;35.917582417582416;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;60.8605902777778;6.2;8.3;11.8;10.1;0.18789761365421415;-0.39493102116150913;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
202;5769.0;19.0;53.7560125;86.8608317;218.0;1.3957959339572865;-3.1893189585784754;133.40153256705227;;76.4;19.038382896940576;112.375;-0.0061180789232181;-1.0461914958702967;-0.0254919955134087;Груженный движется вперед;95;7530G;240;1051.0;44.0;76.0;792.0;35.93956043956044;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;60.9854513888889;7.3;7.0;9.7;11.7;0.13787943395290356;-0.15872664384777457;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
203;5792.0;19.0;53.7559793;86.8611825;216.0;0.3233076159482107;-3.242577070840751;133.53563218391054;;76.8;23.3821942258631;33.925;-0.0254919955134087;-1.0839196492301415;-0.0061180789232181;Груженный движется вперед;95;7530G;240;1337.0;11.0;16.5;792.0;35.96153846153846;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;61.01372222222224;6.6;8.5;10.9;10.9;0.11641154217880992;-0.3951702822054064;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
204;5813.0;19.0;53.7559084;86.86147;214.0;1.3820024052570121;-3.51185300957658;133.6766283524929;;76.8;20.50222750715768;103.1125;-0.0601611094116447;-0.92790863668808;-0.0224329560517997;Груженный движется вперед;95;7530G;240;1209.0;34.5;57.75;792.0;35.98351648351648;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;61.12829166666668;7.1;7.5;10.7;10.5;-0.014935580998120063;-0.26586263707575863;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
205;5834.0;17.0;53.7558587;86.8617787;215.0;2.4482487175808068;-3.562227650230411;133.74252873563466;;76.4;21.057290618871725;172.3;-0.0938105434893443;-0.9972468644845518;-0.0428265524625267;Груженный движется вперед;95;7530G;240;1187.0;58.0;99.0;792.0;36.0;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;61.36759722222223;7.3;7.1;11.2;12.3;-0.023002241332925305;-0.04925502204068555;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
206;5853.0;19.0;53.75585;86.8620772;215.0;-0.11642287705696958;-3.46093223100351;133.80996168582624;;76.0;19.670002216892517;58.55;-0.023452635872336;-1.00336494340777;0.0020393596410727;Груженный движется вперед;95;7530G;240;995.0;31.0;53.0;792.0;36.0;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;61.43265277777778;6.5;7.9;10.0;10.1;-0.019311316590689714;-0.2401416285482787;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
207;5878.0;19.0;53.7557982;86.862435;213.0;-1.3329578286000638;-3.245880067331402;133.95708812260784;;76.0;24.24480018778981;23.275;-0.0825940654634444;-0.9605383909452432;0.0224329560517997;Груженный движется вперед;95;7530G;240;1336.0;9.0;12.5;792.0;36.0;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;61.458513888888895;8.3;8.8;11.5;10.9;-0.18972344010047432;-0.23207158894880542;1;6.7;9.715;9.9;9.9;point_30%;11;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
